conversation_id,issue_description,proposed_fix
2,Recommends 15% attrition for wedding block; HQ Source 1 and Article 1 indicate 20-25% is standard—do not push 15% aggressively,Update Article 4 wedding attrition guidance; align Sidekick with HQ Source 1
4,Hyatt groups commission cited as 8-10%; should reflect enhanced program (10%/12%),Update Article 9
9,States 8+ hotel rooms for group; Article 1 requires 10+ rooms,Update Article 2
13,"Wrong cruise minimum (says 5+ cabins, should be 8+ staterooms)",Update Article 2
15,Claims lower attrition improves rates; contradicts Article 3 negotiation guidance,Revise Article 4 attrition negotiation section
17,States typical attrition 15-20%; Article 1 standard is 20-30%,Update Article 2 and Article 4
19,Recommends 15-18% attrition for corporate group; outdated vs Article 1 (20-30%),Update Article 4
22,"Hyatt group commission outdated (8-10%); HQ Source 3: 10% standard, 12% luxury, +1% for 25+ rooms",Update Article 9; add Hyatt program note to Article 1
26,Overstates resort fee non-negotiability; HQ Source 1 notes waivers may apply for comp rooms or couple suite,Add nuance to Article 3; ingest HQ Source 1
39,Suggests negotiating wedding attrition down to 15%; contradicts HQ Source 1,Update Article 4
40,TC credit guidance incomplete; HQ Source 2 allows splitting credits (event + commission),Update Article 8 with TC split guidance
41,Missing TC credit split guidance available in HQ Source 2,Update Article 8; add HQ Source 2 to retrieval
43,DMC vs TO guidance oversimplified for Japan; missing hybrid option and cost tradeoffs (HQ Source 4),Update Article 10 with Japan/hybrid guidance
44,"Recommends DMC without cost, commission, or hybrid tradeoffs for custom Japan incentive group",Update Article 10; reference HQ Source 4
46,States 1:40 comp ratio as fixed industry standard; HQ Source 1 notes comp ratios are negotiable,Update Article 3 with comp negotiation guidance
47,Dismisses comp rooms for 35-room wedding; HQ Source 1 notes 1:30 negotiation can yield 1 comp room,Update Article 3; add HQ Source 1
50,Attrition recommendation spans 20-30% with judgment factors; borderline vs other wedding guidance,Expert review with Booking Platform; align KB wedding attrition policy
